,2024 RANK,2023 RANK,Institution Name,Country
392,387,256,Universiti Brunei Darussalam (UBD),Brunei
393,392,457,Institut National des Sciences Appliquées de Lyon (INSA),France
394,392,406,South China University of Technology,China (Mainland)
395,392,408,Technion - Israel Institute of Technology,Israel
396,392,422,Xiamen University,China (Mainland)
397,396,490,Justus-Liebig-University Giessen,Germany
398,396,322,Kazan (Volga region) Federal University,Russia
400,399,308,HSE University,Russia
402,400,551-560,Masaryk University,Czech Republic
403,400,369,Universidade Nova de Lisboa,Portugal
404,403,494,University of Granada,Spain
405,404,601-650,Istanbul Technical University,Turkey
407,404,412,University of the Philippines,Philippines
408,407,486,Auckland University of Technology (AUT),New Zealand
409,407,521-530,University of Delhi,India
411,410,465,Universidad de Santiago de Chile (USACH),Chile
417,415,267,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia
418,415,416,The American University in Cairo,Egypt
419,418,264,Tomsk State University,Russia
420,419,477,UNESP,Brazil
422,421,284,Graz University of Technology,Austria
423,421,260,Novosibirsk State University,Russia
424,421,521-530,Université de Liège,Belgium
425,421,434,Université de Strasbourg,France
427,426,531-540,University of Limerick,Ireland
428,427,551-560,Anna University,India
429,428,347,IE University,Spain
430,429,,Singapore University of Technology and Design,Singapore
431,429,457,University of Trento,Italy
432,431,477,Koç University,Turkey
434,431,436,National Taipei University of Technology,Taiwan
435,431,332,National Taiwan Normal University,Taiwan
437,436,471,Dublin City University,Ireland
438,436,551-560,Sejong University ,South Korea
439,436,415,Tampere University,Finland
440,436,428,University of Science and Technology Beijing,China (Mainland)
441,436,501-510,University of St.Gallen (HSG),Switzerland
442,440,410,Julius-Maximilians-Universität Würzburg,Germany
446,444,601-650,National and Kapodistrian University of Athens,Greece
449,446,350,Johannes Kepler University Linz,Austria
451,446,,Toyota Technological Institute in Japan,Japan
452,446,347,University of Jyväskylä,Finland
453,451,531-540,Iran University of Science and Technology,"Iran, Islamic Republic of"
454,452,499,Central South University,China (Mainland)
455,452,601-650,Université Claude Bernard Lyon 1,France
456,454,378,Czech Technical University in Prague,Czech Republic
457,454,396,Indian Institute of Technology Indore (IIT Indore),India
458,454,461,Southeast University,China (Mainland)
459,454,384,Sultan Qaboos University,Oman
460,454,541-550,Universität Mannheim,Germany
